Filip,24227.0,86.0,2021-10-20 19:36:52.341886
Kuba,430.0,41.0,2021-10-20 19:37:00.569402
igorr,1000.0,100.0,2021-10-20 20:08:11.363974
daria,1000.0,65.0,2021-10-20 20:38:40.720757
Dario,990.0,55.0,2021-10-24 14:40:21.514741
Ola,1000.0,100.0,2021-10-25 11:58:46.756054
fifi,1000.0,100.0,2021-10-25 16:26:20.832388
igii,1000.0,100.0,2021-10-25 16:26:20.832388
mleko,1000.0,100.0,2021-10-25 16:27:27.081441
rrrr,1000.0,100.0,2021-10-25 16:27:50.270306
neww,1000.0,100.0,2021-10-25 16:52:39.049557
Mamusia<3,1000.0,100.0,2021-10-28 21:30:28.646802
Tatus,1000.0,100.0,2021-10-31 14:28:07.008930
rrrr,1000.0,100.0,2021-11-11 14:58:11.623816
www,1000.0,100.0,2021-11-11 15:54:44.250236
eee,1000.0,100.0,2021-11-11 15:55:50.440233
eee,1000.0,100.0,2021-11-11 16:00:45.098520
q,1000.0,100.0,2021-11-12 13:28:55.584253
